#medianL medianB  madL  madB  regDL  regDB  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
136.288 -2.66 0.062 0.056 0.495 0.495 -0.271 0.082 -1.042 0.072 0.398 0.028 196 NGC_957,Per_OB1 0.5 136.0 -3.0 True False
136.263 -2.715 0.109 0.102 0.493 0.472 -0.194 0.135 -1.185 0.284 0.397 0.047 43 NGC_957 0.5 136.0 -3.0 True False
136.304 -2.284 0.124 0.109 0.494 0.487 -0.245 0.086 -1.019 0.09 0.416 0.029 74 Per_OB1 0.5 136.0 -2.5 True False
136.209 -1.764 0.12 0.147 0.472 0.489 -0.129 0.147 -0.847 0.09 0.404 0.039 48 unknown 0.5 136.0 -2.0 False True
136.055 -1.16 0.021 0.032 0.284 0.455 -0.542 0.055 -0.091 0.11 0.384 0.032 51 King_4 0.5 136.0 -1.5 True False
136.74 -2.739 0.147 0.101 0.493 0.493 -0.122 0.182 -1.156 0.086 0.403 0.033 64 unknown 0.5 136.5 -3.0 False True
136.735 -2.232 0.085 0.117 0.468 0.488 -0.167 0.096 -1.067 0.068 0.414 0.034 89 unknown 0.5 136.5 -2.5 False True
137.319 -4.17 0.082 0.144 0.487 0.489 1.587 0.173 -5.301 0.207 1.429 0.032 31 Trumpler_2 0.5 137.0 -4.5 True False
137.323 -3.904 0.088 0.069 0.445 0.449 1.525 0.102 -5.319 0.093 1.426 0.034 55 Trumpler_2 0.5 137.0 -4.0 True False
137.189 -2.202 0.113 0.137 0.479 0.496 -0.058 0.129 -1.068 0.109 0.403 0.031 72 unknown 0.5 137.0 -2.5 False True
137.216 0.886 0.051 0.052 0.475 0.447 -0.366 0.129 -0.317 0.134 0.428 0.031 135 IC_1848 0.5 137.0 0.5 True False
137.624 -3.825 0.088 0.103 0.424 0.382 1.587 0.111 -5.347 0.121 1.411 0.036 28 Trumpler_2 0.5 137.5 -4.0 True False
