#medianRA medianDEC  madRA  madDEC  regDRA  regDDEC  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
46.107 58.722 0.075 0.041 0.383 0.199 -0.164 0.193 0.017 0.183 0.166 0.079 80 Berkeley_66 0.2 46.0 58.6 True False
47.923 53.350 0.012 0.012 0.234 0.088 0.237 0.112 -0.695 0.078 0.297 0.048 58 NGC_1220 0.2 47.6 53.2 True False
49.279 58.623 0.036 0.012 0.327 0.188 -0.491 0.087 -0.391 0.103 0.289 0.023 57 Czernik_14 0.2 49.2 58.6 True False
49.391 59.517 0.077 0.047 0.380 0.188 -0.355 0.178 0.498 0.163 0.245 0.075 37 unknown 0.2 49.2 59.4 False True
49.874 52.705 0.061 0.038 0.371 0.196 0.333 0.183 -0.962 0.050 0.287 0.070 42 unknown 0.2 49.6 52.6 False True
49.791 53.083 0.110 0.049 0.360 0.189 0.432 0.193 -1.091 0.112 0.315 0.072 38 unknown 0.2 49.6 53.0 False True
50.243 58.895 0.072 0.040 0.389 0.193 0.544 0.142 -1.595 0.171 0.825 0.151 50 unknown 0.2 50.0 58.8 False True
50.255 60.090 0.063 0.053 0.389 0.189 0.993 0.066 -0.543 0.083 0.336 0.047 41 unknown 0.2 50.0 60.0 False True
51.074 54.890 0.086 0.049 0.396 0.197 0.399 0.190 -1.054 0.183 0.405 0.058 66 unknown 0.2 50.8 54.8 False True
51.855 56.343 0.058 0.038 0.358 0.169 3.877 0.141 -1.912 0.129 1.353 0.045 34 King_6 0.2 51.6 56.2 True False
51.934 56.463 0.045 0.050 0.381 0.200 3.902 0.181 -1.815 0.169 1.352 0.052 72 King_6 0.2 51.6 56.4 True False
52.087 56.479 0.047 0.040 0.325 0.197 3.863 0.194 -1.817 0.191 1.331 0.058 70 King_6 0.2 52.0 56.4 True False
53.151 52.653 0.026 0.022 0.395 0.187 1.536 0.129 0.008 0.093 0.506 0.067 88 Berkeley_9 0.2 52.8 52.6 True False
53.049 55.048 0.072 0.021 0.361 0.179 -0.844 0.112 -0.808 0.103 0.279 0.102 32 unknown 0.2 52.8 55.0 False True
53.250 52.662 0.044 0.033 0.385 0.195 1.483 0.126 0.067 0.135 0.514 0.048 45 Berkeley_9 0.2 53.2 52.6 True False
54.585 60.079 0.082 0.047 0.390 0.194 0.153 0.198 -0.233 0.199 0.181 0.091 100 unknown 0.2 54.4 60.0 False True
55.087 59.426 0.038 0.017 0.363 0.167 1.098 0.106 -0.410 0.084 0.254 0.035 50 unknown 0.2 54.8 59.4 False True
56.294 50.734 0.059 0.032 0.354 0.196 0.809 0.138 -1.225 0.096 0.312 0.051 67 unknown 0.2 56.0 50.6 False True
56.656 58.922 0.100 0.051 0.389 0.191 0.508 0.091 -2.387 0.109 0.579 0.042 31 Tombaugh_5 0.2 56.4 58.8 True False
56.696 59.102 0.075 0.033 0.392 0.191 0.535 0.080 -2.373 0.102 0.566 0.048 61 Tombaugh_5 0.2 56.4 59.0 True False
57.018 58.943 0.099 0.029 0.388 0.193 0.514 0.093 -2.387 0.091 0.541 0.041 71 Tombaugh_5 0.2 56.8 58.8 True False
56.977 59.083 0.082 0.034 0.395 0.196 0.534 0.085 -2.388 0.086 0.559 0.029 204 Tombaugh_5 0.2 56.8 59.0 True False
56.980 59.267 0.089 0.033 0.396 0.192 0.526 0.095 -2.343 0.103 0.569 0.067 42 Tombaugh_5 0.2 56.8 59.2 True False
57.382 52.672 0.044 0.033 0.385 0.192 -0.776 0.195 -1.845 0.090 0.841 0.053 37 NGC_1444 0.2 57.2 52.6 True False
